;TEAM;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;STL;BLK;TOV;PF;+/-
857;NYK;NYK @ PHI;11/28/2018;L;240;91;32;92;34.8;6;29;20.7;21;22;95.5;11;30;41;14;11;5;15;21;-26
858;MEM;MEM vs. TOR;11/27/2018;L;240;114;43;85;50.6;10;29;34.5;18;21;85.7;11;24;35;27;9;5;15;23;-8
859;TOR;TOR @ MEM;11/27/2018;W;240;122;42;69;60.9;18;33;54.5;20;28;71.4;4;27;31;25;5;5;15;18;8
860;LAL;LAL @ DEN;11/27/2018;L;240;85;34;87;39.1;5;35;14.3;12;18;66.7;8;31;39;19;5;8;12;19;-32
861;DEN;DEN vs. LAL;11/27/2018;W;240;117;47;97;48.5;9;25;36.0;14;15;93.3;16;44;60;28;7;4;12;17;32
862;NYK;NYK @ DET;11/27/2018;L;240;108;36;91;39.6;9;27;33.3;27;32;84.4;13;37;50;16;5;5;13;31;-7
863;DET;DET vs. NYK;11/27/2018;W;240;115;38;80;47.5;7;24;29.2;32;45;71.1;7;41;48;20;5;7;13;26;7
864;ATL;ATL @ MIA;11/27/2018;W;240;115;38;80;47.5;12;31;38.7;27;32;84.4;10;36;46;22;13;7;24;24;2
865;MIA;MIA vs. ATL;11/27/2018;L;240;113;40;87;46.0;13;38;34.2;20;30;66.7;11;32;43;22;20;3;20;25;-2
866;PHX;PHX vs. IND;11/27/2018;L;240;104;41;92;44.6;10;30;33.3;12;18;66.7;12;33;45;20;8;6;9;17;-5
867;IND;IND @ PHX;11/27/2018;W;240;109;38;90;42.2;11;26;42.3;22;29;75.9;17;38;55;25;8;6;12;13;5
868;BOS;BOS @ NOP;11/26/2018;W;240;124;48;97;49.5;19;39;48.7;9;10;90.0;14;28;42;27;14;4;15;25;17
869;NOP;NOP vs. BOS;11/26/2018;L;240;107;34;77;44.2;12;32;37.5;27;29;93.1;9;31;40;21;8;5;22;20;-17
870;HOU;HOU @ WAS;11/26/2018;L;265;131;46;97;47.4;18;48;37.5;21;27;77.8;18;30;48;22;8;5;21;31;-4
871;WAS;WAS vs. HOU;11/26/2018;W;265;135;50;89;56.2;11;29;37.9;24;32;75.0;9;29;38;29;7;7;13;29;4
872;CHA;CHA vs. MIL;11/26/2018;W;240;110;38;81;46.9;13;29;44.8;21;30;70.0;5;39;44;21;9;5;11;22;3
873;MIL;MIL @ CHA;11/26/2018;L;240;107;37;90;41.1;16;46;34.8;17;21;81.0;10;38;48;25;7;5;16;22;-3
874;UTA;UTA vs. IND;11/26/2018;L;240;88;34;81;42.0;8;31;25.8;12;17;70.6;10;28;38;25;10;4;19;17;-33
875;IND;IND @ UTA;11/26/2018;W;240;121;49;84;58.3;9;18;50.0;14;17;82.4;4;35;39;33;13;4;16;17;33
876;MIN;MIN @ CLE;11/26/2018;W;240;102;40;86;46.5;8;26;30.8;14;19;73.7;8;31;39;18;8;8;9;18;7
877;CLE;CLE vs. MIN;11/26/2018;L;240;95;36;86;41.9;10;31;32.3;13;14;92.9;9;31;40;24;4;3;17;18;-7
878;SAS;SAS @ CHI;11/26/2018;W;240;108;45;93;48.4;10;30;33.3;8;9;88.9;7;39;46;29;7;2;10;16;1
879;CHI;CHI vs. SAS;11/26/2018;L;240;107;42;90;46.7;14;33;42.4;9;11;81.8;5;38;43;23;6;5;12;12;-1
880;ORL;ORL @ GSW;11/26/2018;L;240;110;40;90;44.4;14;30;46.7;16;21;76.2;6;28;34;28;11;2;11;21;-6
881;GSW;GSW vs. ORL;11/26/2018;W;240;116;41;84;48.8;13;35;37.1;21;23;91.3;10;36;46;21;8;7;15;19;6
882;NYK;NYK @ MEM;11/25/2018;W;240;103;34;91;37.4;8;22;36.4;27;32;84.4;14;42;56;17;4;5;10;21;5
883;MEM;MEM vs. NYK;11/25/2018;L;240;98;38;86;44.2;11;30;36.7;11;19;57.9;6;35;41;27;5;19;8;23;-5
884;MIA;MIA @ TOR;11/25/2018;L;240;115;39;95;41.1;15;36;41.7;22;32;68.8;17;29;46;21;6;5;7;22;-10
885;TOR;TOR vs. MIA;11/25/2018;W;240;125;47;90;52.2;11;35;31.4;20;25;80.0;11;36;47;25;4;7;11;21;10
886;UTA;UTA @ SAC;11/25/2018;W;240;133;49;92;53.3;10;30;33.3;25;33;75.8;13;36;49;30;11;5;19;26;21
887;SAC;SAC vs. UTA;11/25/2018;L;240;112;40;85;47.1;9;23;39.1;23;31;74.2;7;29;36;20;10;7;17;25;-21
888;CHA;CHA @ ATL;11/25/2018;L;240;123;41;92;44.6;18;45;40.0;23;28;82.1;10;32;42;30;8;4;12;15;-1
889;ATL;ATL vs. CHA;11/25/2018;W;240;124;50;94;53.2;16;39;41.0;8;11;72.7;9;32;41;34;5;9;15;23;1
890;POR;POR vs. LAC;11/25/2018;L;240;100;42;97;43.3;8;38;21.1;8;10;80.0;16;42;58;18;2;5;12;24;-4
891;LAC;LAC @ POR;11/25/2018;W;240;104;38;90;42.2;5;25;20.0;23;34;67.6;11;37;48;15;9;5;4;13;4
892;PHX;PHX @ DET;11/25/2018;L;240;107;42;82;51.2;8;25;32.0;15;21;71.4;10;32;42;22;6;6;17;22;-11
893;DET;DET vs. PHX;11/25/2018;W;240;118;43;93;46.2;16;41;39.0;16;25;64.0;13;28;41;30;9;0;13;19;11
894;PHI;PHI @ BKN;11/25/2018;W;240;127;44;91;48.4;12;29;41.4;27;33;81.8;13;29;42;28;9;6;9;22;2
895;BKN;BKN vs. PHI;11/25/2018;L;240;125;50;88;56.8;10;25;40.0;15;20;75.0;10;33;43;19;2;4;16;25;-2
896;ORL;ORL @ LAL;11/25/2018;W;240;108;42;93;45.2;11;31;35.5;13;14;92.9;9;36;45;31;8;5;14;22;4
897;LAL;LAL vs. ORL;11/25/2018;L;240;104;37;79;46.8;10;26;38.5;20;31;64.5;5;37;42;22;9;10;18;17;-4
898;DEN;DEN @ OKC;11/24/2018;W;240;105;39;95;41.1;10;30;33.3;17;24;70.8;15;39;54;26;6;9;18;20;7
899;OKC;OKC vs. DEN;11/24/2018;L;240;98;37;103;35.9;9;39;23.1;15;23;65.2;19;35;54;22;9;5;10;24;-7
900;NOP;NOP @ WAS;11/24/2018;L;240;114;43;90;47.8;11;31;35.5;17;21;81.0;7;36;43;23;10;3;16;21;-10
901;WAS;WAS vs. NOP;11/24/2018;W;240;124;51;90;56.7;10;29;34.5;12;23;52.2;5;40;45;30;12;9;15;16;10
902;CHI;CHI @ MIN;11/24/2018;L;240;96;32;81;39.5;10;33;30.3;22;31;71.0;6;34;40;22;7;4;15;19;-15
903;MIN;MIN vs. CHI;11/24/2018;W;240;111;42;103;40.8;7;34;20.6;20;23;87.0;21;38;59;22;7;5;14;23;15
904;MIL;MIL vs. SAS;11/24/2018;W;240;135;49;86;57.0;15;40;37.5;22;29;75.9;6;35;41;30;7;3;13;22;6
905;SAS;SAS @ MIL;11/24/2018;L;240;129;49;92;53.3;10;21;47.6;21;28;75.0;9;30;39;27;8;3;10;21;-6
906;DAL;DAL vs. BOS;11/24/2018;W;240;113;42;87;48.3;16;41;39.0;13;21;61.9;13;30;43;27;12;3;16;16;9
907;BOS;BOS @ DAL;11/24/2018;L;240;104;41;86;47.7;10;28;35.7;12;13;92.3;9;33;42;19;8;3;18;21;-9
908;CLE;CLE vs. HOU;11/24/2018;W;240;117;44;90;48.9;7;22;31.8;22;29;75.9;20;29;49;15;11;2;14;24;9
909;HOU;HOU @ CLE;11/24/2018;L;240;108;37;74;50.0;15;39;38.5;19;28;67.9;8;23;31;18;5;4;16;19;-9
910;SAC;SAC @ GSW;11/24/2018;L;240;116;42;97;43.3;11;28;39.3;21;29;72.4;13;34;47;28;6;4;8;22;-1
911;GSW;GSW vs. SAC;11/24/2018;W;240;117;41;88;46.6;10;34;29.4;25;29;86.2;12;42;54;28;5;6;15;24;1
912;OKC;OKC vs. CHA;11/23/2018;W;240;109;41;93;44.1;11;33;33.3;16;24;66.7;11;35;46;24;6;2;14;18;5
913;CHA;CHA @ OKC;11/23/2018;L;240;104;43;94;45.7;6;31;19.4;12;14;85.7;11;35;46;24;8;5;14;21;-5
914;WAS;WAS @ TOR;11/23/2018;L;240;107;40;100;40.0;9;46;19.6;18;19;94.7;14;30;44;28;8;7;13;16;-18
915;TOR;TOR vs. WAS;11/23/2018;W;240;125;46;93;49.5;17;39;43.6;16;19;84.2;13;37;50;32;5;6;15;23;18
916;ORL;ORL @ DEN;11/23/2018;L;240;87;32;79;40.5;8;32;25.0;15;19;78.9;4;33;37;24;7;2;15;19;-25
917;DEN;DEN vs. ORL;11/23/2018;W;240;112;44;93;47.3;9;28;32.1;15;17;88.2;12;39;51;33;10;5;11;20;25
918;MIL;MIL vs. PHX;11/23/2018;L;240;114;42;87;48.3;10;44;22.7;20;30;66.7;7;36;43;30;6;7;14;17;-2
919;PHX;PHX @ MIL;11/23/2018;W;240;116;45;90;50.0;9;26;34.6;17;22;77.3;6;34;40;21;8;4;11;25;2
920;ATL;ATL vs. BOS;11/23/2018;L;240;96;35;81;43.2;6;35;17.1;20;29;69.0;5;35;40;22;9;7;21;26;-18
921;BOS;BOS @ ATL;11/23/2018;W;240;114;42;91;46.2;13;40;32.5;17;21;81.0;7;36;43;31;11;7;16;29;18
922;SAS;SAS @ IND;11/23/2018;W;240;111;42;83;50.6;10;21;47.6;17;24;70.8;9;37;46;28;3;4;15;19;11
923;IND;IND vs. SAS;11/23/2018;L;240;100;46;99;46.5;3;24;12.5;5;9;55.6;11;34;45;31;9;2;12;22;-11
924;MEM;MEM @ LAC;11/23/2018;L;265;107;42;92;45.7;9;27;33.3;14;18;77.8;6;41;47;29;6;7;17;29;-5
925;LAC;LAC vs. MEM;11/23/2018;W;265;112;40;94;42.6;8;23;34.8;24;27;88.9;8;40;48;26;6;5;11;23;5
926;HOU;HOU @ DET;11/23/2018;L;265;111;41;98;41.8;10;36;27.8;19;21;90.5;17;27;44;22;6;7;14;26;-5
927;DET;DET vs. HOU;11/23/2018;W;265;116;40;88;45.5;7;27;25.9;29;40;72.5;14;35;49;18;11;5;14;18;5
928;BKN;BKN vs. MIN;11/23/2018;L;240;102;33;79;41.8;14;45;31.1;22;26;84.6;9;37;46;26;2;4;19;22;-10
929;MIN;MIN @ BKN;11/23/2018;W;240;112;44;92;47.8;9;25;36.0;15;17;88.2;9;29;38;25;15;4;7;20;10
930;NYK;NYK vs. NOP;11/23/2018;W;240;114;41;91;45.1;12;33;36.4;20;27;74.1;12;34;46;22;9;10;9;26;5
931;NOP;NOP @ NYK;11/23/2018;L;240;109;40;101;39.6;7;28;25.0;22;29;75.9;20;35;55;26;5;5;14;22;-5
932;MIA;MIA @ CHI;11/23/2018;W;240;103;37;87;42.5;10;34;29.4;19;31;61.3;10;38;48;20;10;11;14;21;7
933;CHI;CHI vs. MIA;11/23/2018;L;240;96;35;94;37.2;7;28;25.0;19;20;95.0;11;40;51;23;8;6;17;23;-7
934;LAL;LAL vs. UTA;11/23/2018;W;240;90;36;79;45.6;7;23;30.4;11;18;61.1;5;42;47;10;11;5;24;20;7
935;UTA;UTA @ LAL;11/23/2018;L;240;83;33;85;38.8;4;23;17.4;13;17;76.5;7;34;41;22;12;3;19;21;-7
936;POR;POR @ GSW;11/23/2018;L;240;97;38;93;40.9;9;24;37.5;12;22;54.5;12;27;39;22;9;2;13;16;-28
937;GSW;GSW vs. POR;11/23/2018;W;240;125;48;85;56.5;17;32;53.1;12;16;75.0;6;37;43;29;11;10;15;22;28
938;CLE;CLE @ PHI;11/23/2018;W;240;121;49;93;52.7;11;22;50.0;12;16;75.0;14;28;42;16;7;1;9;25;9
939;PHI;PHI vs. CLE;11/23/2018;L;240;112;40;75;53.3;12;33;36.4;20;26;76.9;4;27;31;27;5;2;10;20;-9
940;IND;IND @ CHA;11/21/2018;L;240;109;41;84;48.8;11;33;33.3;16;17;94.1;10;27;37;26;5;7;14;19;-18
941;CHA;CHA vs. IND;11/21/2018;W;240;127;45;80;56.3;18;29;62.1;19;22;86.4;6;30;36;30;7;3;12;15;18
942;MIN;MIN vs. DEN;11/21/2018;L;240;101;35;79;44.3;9;32;28.1;22;26;84.6;8;32;40;24;8;3;18;15;-2
943;DEN;DEN @ MIN;11/21/2018;W;240;103;42;89;47.2;14;35;40.0;5;6;83.3;9;31;40;29;12;4;14;22;2
944;MIL;MIL vs. POR;11/21/2018;W;240;143;57;108;52.8;15;45;33.3;14;17;82.4;13;46;59;34;8;2;14;23;43
945;POR;POR @ MIL;11/21/2018;L;240;100;34;93;36.6;9;41;22.0;23;28;82.1;10;30;40;13;8;6;17;20;-43
946;UTA;UTA vs. SAC;11/21/2018;L;240;110;38;88;43.2;12;39;30.8;22;31;71.0;12;34;46;21;7;7;10;21;-9
947;SAC;SAC @ UTA;11/21/2018;W;240;119;47;89;52.8;11;25;44.0;14;19;73.7;8;40;48;27;5;4;11;30;9
948;TOR;TOR @ ATL;11/21/2018;W;240;124;48;90;53.3;11;29;37.9;17;23;73.9;14;41;55;33;6;1;19;21;16
949;ATL;ATL vs. TOR;11/21/2018;L;240;108;42;93;45.2;10;36;27.8;14;18;77.8;9;25;34;24;10;7;9;21;-16
950;DAL;DAL vs. BKN;11/21/2018;W;240;119;38;78;48.7;11;27;40.7;32;41;78.0;8;37;45;21;10;3;13;20;6
951;BKN;BKN @ DAL;11/21/2018;L;240;113;42;94;44.7;14;42;33.3;15;21;71.4;16;26;42;23;8;2;14;31;-6
952;DET;DET @ HOU;11/21/2018;L;240;124;40;85;47.1;16;34;47.1;28;37;75.7;15;22;37;20;8;1;16;26;-2
953;HOU;HOU vs. DET;11/21/2018;W;240;126;40;72;55.6;13;33;39.4;33;36;91.7;5;31;36;18;8;7;15;25;2
954;CLE;CLE vs. LAL;11/21/2018;L;240;105;39;102;38.2;13;34;38.2;14;15;93.3;15;31;46;18;3;2;3;22;-4
955;LAL;LAL @ CLE;11/21/2018;W;240;109;40;78;51.3;9;25;36.0;20;28;71.4;7;44;51;23;2;9;15;20;4
956;NYK;NYK @ BOS;11/21/2018;W;240;117;44;89;49.4;15;30;50.0;14;17;82.4;9;40;49;25;3;11;17;24;8
957;BOS;BOS vs. NYK;11/21/2018;L;240;109;38;97;39.2;10;33;30.3;23;32;71.9;15;35;50;30;10;9;8;16;-8
958;PHX;PHX @ CHI;11/21/2018;L;240;116;48;98;49.0;10;34;29.4;10;10;100;6;30;36;28;9;5;13;20;-8
959;CHI;CHI vs. PHX;11/21/2018;W;240;124;46;81;56.8;11;25;44.0;21;24;87.5;4;35;39;28;8;2;17;19;8
960;SAS;SAS vs. MEM;11/21/2018;L;240;103;35;82;42.7;7;22;31.8;26;30;86.7;10;33;43;21;4;5;9;20;-1
961;MEM;MEM @ SAS;11/21/2018;W;240;104;39;81;48.1;8;25;32.0;18;21;85.7;4;36;40;21;4;7;9;25;1
962;OKC;OKC @ GSW;11/21/2018;W;240;123;51;106;48.1;13;35;37.1;8;15;53.3;18;43;61;29;10;5;10;23;28
963;GSW;GSW vs. OKC;11/21/2018;L;240;95;36;83;43.4;7;29;24.1;16;24;66.7;7;35;42;24;7;10;17;18;-28
964;PHI;PHI vs. NOP;11/21/2018;W;240;121;44;98;44.9;10;29;34.5;23;26;88.5;11;36;47;27;7;7;16;26;1
965;NOP;NOP @ PHI;11/21/2018;L;240;120;42;98;42.9;11;30;36.7;25;33;75.8;20;34;54;24;8;8;15;21;-1
966;WAS;WAS vs. LAC;11/20/2018;W;240;125;40;93;43.0;13;39;33.3;32;39;82.1;11;33;44;27;11;8;7;20;7
967;LAC;LAC @ WAS;11/20/2018;L;240;118;46;89;51.7;11;27;40.7;15;18;83.3;7;37;44;20;6;4;19;28;-7
968;TOR;TOR @ ORL;11/20/2018;W;240;93;39;87;44.8;9;34;26.5;6;8;75.0;6;37;43;23;7;5;16;19;2
969;ORL;ORL vs. TOR;11/20/2018;L;240;91;34;84;40.5;8;30;26.7;15;19;78.9;11;38;49;24;5;4;14;11;-2
970;BKN;BKN @ MIA;11/20/2018;W;240;104;38;88;43.2;8;31;25.8;20;26;76.9;13;40;53;17;6;4;12;21;12
971;MIA;MIA vs. BKN;11/20/2018;L;240;92;36;100;36.0;7;32;21.9;13;20;65.0;18;34;52;18;5;6;14;24;-12
972;NYK;NYK vs. POR;11/20/2018;L;240;114;42;83;50.6;13;29;44.8;17;22;77.3;10;32;42;22;8;5;15;15;-4
973;POR;POR @ NYK;11/20/2018;W;240;118;45;95;47.4;16;35;45.7;12;17;70.6;14;29;43;25;8;4;12;19;4
974;NOP;NOP vs. SAS;11/19/2018;W;240;140;59;102;57.8;10;26;38.5;12;14;85.7;14;28;42;34;10;5;11;23;14
975;SAS;SAS @ NOP;11/19/2018;L;240;126;45;94;47.9;12;24;50.0;24;30;80.0;18;26;44;22;7;0;15;20;-14
976;MEM;MEM vs. DAL;11/19/2018;W;240;98;37;79;46.8;12;30;40.0;12;14;85.7;5;40;45;29;8;11;16;21;10
977;DAL;DAL @ MEM;11/19/2018;L;240;88;30;88;34.1;10;32;31.3;18;21;85.7;7;36;43;17;8;4;11;19;-10
978;CHA;CHA vs. BOS;11/19/2018;W;240;117;43;89;48.3;15;41;36.6;16;22;72.7;8;36;44;18;5;3;14;16;5
979;BOS;BOS @ CHA;11/19/2018;L;240;112;45;89;50.6;9;32;28.1;13;18;72.2;8;33;41;31;9;6;12;22;-5
980;SAC;SAC vs. OKC;11/19/2018;W;240;117;45;102;44.1;16;38;42.1;11;17;64.7;14;45;59;29;7;4;15;18;4
981;OKC;OKC @ SAC;11/19/2018;L;240;113;45;108;41.7;12;41;29.3;11;16;68.8;13;40;53;22;8;3;13;22;-4
982;DEN;DEN @ MIL;11/19/2018;L;240;98;40;94;42.6;12;41;29.3;6;9;66.7;13;30;43;30;6;4;18;20;-6
983;MIL;MIL vs. DEN;11/19/2018;W;240;104;40;88;45.5;11;36;30.6;13;22;59.1;13;38;51;21;8;3;18;16;6
984;ATL;ATL vs. LAC;11/19/2018;L;240;119;45;101;44.6;12;38;31.6;17;19;89.5;16;35;51;29;6;6;16;38;-8
985;LAC;LAC @ ATL;11/19/2018;W;240;127;40;93;43.0;10;33;30.3;37;47;78.7;15;37;52;24;9;8;15;22;8
986;IND;IND vs. UTA;11/19/2018;W;240;121;49;93;52.7;12;25;48.0;11;17;64.7;11;33;44;35;13;3;9;17;27
987;UTA;UTA @ IND;11/19/2018;L;240;94;36;74;48.6;11;25;44.0;11;16;68.8;3;33;36;26;6;10;19;18;-27
988;CLE;CLE @ DET;11/19/2018;L;240;102;35;79;44.3;8;21;38.1;24;34;70.6;11;25;36;16;8;3;10;22;-11
989;DET;DET vs. CLE;11/19/2018;W;240;113;41;89;46.1;13;38;34.2;18;19;94.7;13;37;50;26;5;4;12;27;11
990;PHI;PHI vs. PHX;11/19/2018;W;240;119;41;84;48.8;6;22;27.3;31;42;73.8;13;40;53;24;8;1;19;27;5
991;PHX;PHX @ PHI;11/19/2018;L;240;114;44;87;50.6;13;33;39.4;13;24;54.2;5;26;31;25;9;4;13;34;-5
992;POR;POR @ WAS;11/18/2018;W;240;119;39;86;45.3;11;30;36.7;30;35;85.7;9;43;52;26;4;3;15;25;10
993;WAS;WAS vs. POR;11/18/2018;L;240;109;43;96;44.8;13;32;40.6;10;21;47.6;9;34;43;28;4;9;12;30;-10
994;MEM;MEM @ MIN;11/18/2018;W;240;100;35;82;42.7;12;28;42.9;18;25;72.0;10;33;43;26;11;9;12;20;13
995;MIN;MIN vs. MEM;11/18/2018;L;240;87;31;80;38.8;12;29;41.4;13;16;81.3;10;39;49;20;8;3;20;20;-13
996;ORL;ORL vs. NYK;11/18/2018;W;240;131;48;84;57.1;13;32;40.6;22;26;84.6;7;28;35;35;5;6;17;26;14
997;NYK;NYK @ ORL;11/18/2018;L;240;117;40;87;46.0;8;24;33.3;29;35;82.9;17;25;42;12;7;2;14;26;-14
998;GSW;GSW @ SAS;11/18/2018;L;240;92;35;86;40.7;5;26;19.2;17;21;81.0;10;36;46;20;6;4;12;17;-12
999;SAS;SAS vs. GSW;11/18/2018;W;240;104;41;92;44.6;10;24;41.7;12;17;70.6;11;37;48;24;3;5;11;18;12
1000;LAL;LAL @ MIA;11/18/2018;W;240;113;42;95;44.2;11;27;40.7;18;21;85.7;14;36;50;16;7;5;10;19;16
1001;MIA;MIA vs. LAL;11/18/2018;L;240;97;35;87;40.2;13;32;40.6;14;19;73.7;12;36;48;20;3;5;14;21;-16
1002;NOP;NOP vs. DEN;11/17/2018;W;240;125;42;87;48.3;10;25;40.0;31;34;91.2;10;36;46;29;6;8;11;18;10
1003;DEN;DEN @ NOP;11/17/2018;L;240;115;46;95;48.4;15;39;38.5;8;13;61.5;10;33;43;30;5;6;13;23;-10
1004;CHA;CHA vs. PHI;11/17/2018;L;265;119;42;99;42.4;10;31;32.3;25;27;92.6;9;40;49;23;10;3;17;29;-3
1005;PHI;PHI @ CHA;11/17/2018;W;265;122;39;93;41.9;11;35;31.4;33;38;86.8;9;44;53;23;9;6;19;24;3
1006;ATL;ATL @ IND;11/17/2018;L;240;89;31;87;35.6;8;29;27.6;19;27;70.4;5;36;41;20;15;6;18;24;-8
1007;IND;IND vs. ATL;11/17/2018;W;240;97;35;87;40.2;12;30;40.0;15;21;71.4;10;43;53;25;11;6;24;26;8
1008;GSW;GSW @ DAL;11/17/2018;L;240;109;42;94;44.7;9;33;27.3;16;17;94.1;12;35;47;24;6;6;12;27;-3
1009;DAL;DAL vs. GSW;11/17/2018;W;240;112;40;86;46.5;10;34;29.4;22;34;64.7;8;38;46;18;6;5;10;18;3
1010;LAL;LAL @ ORL;11/17/2018;L;240;117;43;90;47.8;10;30;33.3;21;25;84.0;8;33;41;22;5;6;14;20;-13
1011;ORL;ORL vs. LAL;11/17/2018;W;240;130;50;93;53.8;11;32;34.4;19;23;82.6;11;30;41;28;5;8;13;23;13
1012;SAC;SAC @ HOU;11/17/2018;L;240;112;46;102;45.1;11;35;31.4;9;12;75.0;13;26;39;23;10;3;14;21;-20
1013;HOU;HOU vs. SAC;11/17/2018;W;240;132;46;81;56.8;20;47;42.6;20;24;83.3;6;35;41;27;9;10;22;20;20
1014;BKN;BKN vs. LAC;11/17/2018;L;240;119;40;88;45.5;13;28;46.4;26;34;76.5;15;32;47;25;4;5;11;22;-8
1015;LAC;LAC @ BKN;11/17/2018;W;240;127;48;95;50.5;11;23;47.8;20;24;83.3;9;29;38;23;4;1;8;25;8
1016;BOS;BOS vs. UTA;11/17/2018;L;240;86;35;91;38.5;5;33;15.2;11;20;55.0;17;34;51;16;11;4;14;22;-12
1017;UTA;UTA @ BOS;11/17/2018;W;240;98;35;78;44.9;11;38;28.9;17;27;63.0;7;39;46;23;11;4;15;23;12
1018;PHX;PHX vs. OKC;11/17/2018;L;240;100;37;82;45.1;12;29;41.4;14;21;66.7;4;27;31;25;14;6;15;28;-10
1019;OKC;OKC @ PHX;11/17/2018;W;240;110;38;85;44.7;7;24;29.2;27;32;84.4;14;38;52;17;9;7;18;20;10
1020;CHI;CHI vs. TOR;11/17/2018;L;240;83;30;86;34.9;8;27;29.6;15;21;71.4;7;27;34;21;13;3;22;19;-39
1021;TOR;TOR @ CHI;11/17/2018;W;240;122;48;89;53.9;14;35;40.0;12;13;92.3;8;46;54;31;14;10;23;24;39
1022;NOP;NOP vs. NYK;11/16/2018;W;240;129;48;99;48.5;10;34;29.4;23;32;71.9;11;43;54;27;5;5;15;25;5
1023;NYK;NYK @ NOP;11/16/2018;L;240;124;48;98;49.0;11;34;32.4;17;24;70.8;12;32;44;15;10;6;13;31;-5
1024;MEM;MEM vs. SAC;11/16/2018;W;240;112;43;85;50.6;11;25;44.0;15;24;62.5;9;31;40;24;11;5;16;23;8
1025;SAC;SAC @ MEM;11/16/2018;L;240;104;37;80;46.3;12;33;36.4;18;24;75.0;9;33;42;23;9;2;21;24;-8
1026;WAS;WAS vs. BKN;11/16/2018;L;240;104;37;87;42.5;3;18;16.7;27;34;79.4;12;35;47;18;5;4;13;23;-11
1027;BKN;BKN @ WAS;11/16/2018;W;240;115;38;90;42.2;9;33;27.3;30;38;78.9;13;34;47;19;8;3;12;24;11
1028;MIN;MIN vs. POR;11/16/2018;W;240;112;46;92;50.0;12;28;42.9;8;11;72.7;9;34;43;28;11;4;12;16;16
1029;POR;POR @ MIN;11/16/2018;L;240;96;37;88;42.0;8;29;27.6;14;20;70.0;11;37;48;16;6;1;18;14;-16
1030;CHI;CHI @ MIL;11/16/2018;L;240;104;41;94;43.6;13;33;39.4;9;13;69.2;4;32;36;22;8;3;12;15;-19
1031;MIL;MIL vs. CHI;11/16/2018;W;240;123;47;93;50.5;18;43;41.9;11;17;64.7;11;44;55;28;8;8;17;14;19
1032;IND;IND vs. MIA;11/16/2018;W;240;99;36;81;44.4;14;27;51.9;13;15;86.7;4;43;47;22;10;6;19;14;8
1033;MIA;MIA @ IND;11/16/2018;L;240;91;35;93;37.6;14;36;38.9;7;10;70.0;13;38;51;21;10;5;18;16;-8
1034;BOS;BOS vs. TOR;11/16/2018;W;265;123;47;89;52.8;9;26;34.6;20;24;83.3;9;37;46;25;9;6;18;23;7
1035;TOR;TOR @ BOS;11/16/2018;L;265;116;42;97;43.3;8;29;27.6;24;29;82.8;11;32;43;20;12;4;14;23;-7
1036;PHI;PHI vs. UTA;11/16/2018;W;240;113;41;81;50.6;11;23;47.8;20;32;62.5;10;31;41;25;7;5;18;27;6
1037;UTA;UTA @ PHI;11/16/2018;L;240;107;41;88;46.6;4;22;18.2;21;37;56.8;10;29;39;15;10;4;13;25;-6
1038;ATL;ATL @ DEN;11/15/2018;L;240;93;32;92;34.8;9;42;21.4;20;27;74.1;15;28;43;20;7;5;19;22;-45
1039;DEN;DEN vs. ATL;11/15/2018;W;240;138;53;94;56.4;13;31;41.9;19;25;76.0;11;45;56;34;12;6;15;24;45
1040;SAS;SAS @ LAC;11/15/2018;L;240;111;41;102;40.2;9;29;31.0;20;25;80.0;15;30;45;19;7;6;5;24;-5
1041;LAC;LAC vs. SAS;11/15/2018;W;240;116;40;85;47.1;8;23;34.8;28;35;80.0;9;41;50;23;2;3;12;25;5
1042;GSW;GSW @ HOU;11/15/2018;L;240;86;32;76;42.1;4;18;22.2;18;22;81.8;12;32;44;18;2;5;17;24;-21
1043;HOU;HOU vs. GSW;11/15/2018;W;240;107;35;87;40.2;16;47;34.0;21;26;80.8;14;27;41;20;8;4;8;21;21
1044;NYK;NYK @ OKC;11/14/2018;L;240;103;39;88;44.3;7;26;26.9;18;23;78.3;9;27;36;18;8;8;18;17;-25
1045;OKC;OKC vs. NYK;11/14/2018;W;240;128;51;95;53.7;16;33;48.5;10;12;83.3;13;34;47;32;11;7;16;21;25
1046;TOR;TOR vs. DET;11/14/2018;L;240;104;45;92;48.9;4;20;20.0;10;17;58.8;12;37;49;23;9;3;20;19;-2
1047;DET;DET @ TOR;11/14/2018;W;240;106;44;91;48.4;10;33;30.3;8;13;61.5;7;32;39;24;8;5;18;24;2
1048;CLE;CLE @ WAS;11/14/2018;L;240;95;35;77;45.5;4;21;19.0;21;31;67.7;9;33;42;22;12;6;24;24;-24
1049;WAS;WAS vs. CLE;11/14/2018;W;240;119;44;92;47.8;13;40;32.5;18;26;69.2;12;32;44;30;17;3;18;25;24
1050;MIN;MIN vs. NOP;11/14/2018;W;240;107;37;90;41.1;14;32;43.8;19;24;79.2;11;36;47;29;14;6;16;22;7
1051;NOP;NOP @ MIN;11/14/2018;L;240;100;40;94;42.6;9;28;32.1;11;18;61.1;10;36;46;25;7;6;18;21;-7
