;TEAM;MATCH UP;GAME DATE;W/L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;STL;BLK;TOV;PF;+/-
566;BKN;BKN vs. LAL;12/18/2018;W;240;115;44;91;48.4;14;34;41.2;13;19;68.4;4;36;40;27;5;4;12;18;5
567;LAL;LAL @ BKN;12/18/2018;L;240;110;42;90;46.7;13;40;32.5;13;23;56.5;8;40;48;21;6;4;14;19;-5
568;CHI;CHI @ OKC;12/17/2018;L;240;96;38;85;44.7;8;22;36.4;12;16;75.0;13;28;41;20;10;7;25;31;-25
569;OKC;OKC vs. CHI;12/17/2018;W;240;121;43;89;48.3;8;21;38.1;27;33;81.8;17;32;49;24;14;2;20;21;25
570;SAC;SAC @ MIN;12/17/2018;L;240;105;38;90;42.2;14;38;36.8;15;23;65.2;6;32;38;20;5;4;15;27;-27
571;MIN;MIN vs. SAC;12/17/2018;W;240;132;48;96;50.0;10;27;37.0;26;30;86.7;11;47;58;37;10;7;11;24;27
572;POR;POR @ LAC;12/17/2018;W;240;131;47;86;54.7;10;20;50.0;27;31;87.1;6;27;33;26;5;4;11;32;4
573;LAC;LAC vs. POR;12/17/2018;L;240;127;42;83;50.6;10;27;37.0;33;39;84.6;8;29;37;27;5;1;12;23;-4
574;DET;DET vs. MIL;12/17/2018;L;240;104;39;88;44.3;14;35;40.0;12;15;80.0;10;35;45;25;3;2;16;20;-3
575;MIL;MIL @ DET;12/17/2018;W;240;107;44;88;50.0;9;25;36.0;10;15;66.7;5;32;37;33;8;10;11;19;3
576;UTA;UTA @ HOU;12/17/2018;L;240;97;32;82;39.0;10;35;28.6;23;31;74.2;11;41;52;23;9;4;24;25;-5
577;HOU;HOU vs. UTA;12/17/2018;W;240;102;32;86;37.2;12;37;32.4;26;31;83.9;9;30;39;16;13;7;17;24;5
578;PHX;PHX @ NYK;12/17/2018;W;240;128;48;92;52.2;9;27;33.3;23;27;85.2;4;40;44;27;8;5;7;20;18
579;NYK;NYK vs. PHX;12/17/2018;L;240;110;40;99;40.4;9;35;25.7;21;29;72.4;16;34;50;15;5;0;11;21;-18
580;PHI;PHI @ SAS;12/17/2018;L;240;96;40;98;40.8;11;37;29.7;5;7;71.4;12;29;41;29;3;5;11;15;-27
581;SAS;SAS vs. PHI;12/17/2018;W;240;123;49;87;56.3;9;23;39.1;16;17;94.1;4;41;45;28;5;9;7;14;27
582;GSW;GSW vs. MEM;12/17/2018;W;240;110;37;85;43.5;12;31;38.7;24;27;88.9;6;36;42;23;10;5;10;19;17
583;MEM;MEM @ GSW;12/17/2018;L;240;93;36;79;45.6;7;25;28.0;14;18;77.8;2;39;41;24;6;4;16;23;-17
584;NOP;NOP vs. MIA;12/16/2018;L;240;96;35;86;40.7;13;36;36.1;13;17;76.5;11;27;38;26;12;5;11;22;-6
585;MIA;MIA @ NOP;12/16/2018;W;240;102;38;91;41.8;10;35;28.6;16;23;69.6;22;35;57;22;6;4;19;21;6
586;WAS;WAS vs. LAL;12/16/2018;W;240;128;54;106;50.9;13;31;41.9;7;10;70.0;15;36;51;30;14;5;17;13;18
587;LAL;LAL @ WAS;12/16/2018;L;240;110;44;91;48.4;11;36;30.6;11;18;61.1;8;35;43;24;10;6;22;13;-18
588;DEN;DEN vs. TOR;12/16/2018;W;240;95;36;85;42.4;10;30;33.3;13;16;81.3;10;34;44;21;7;4;9;14;9
589;TOR;TOR @ DEN;12/16/2018;L;240;86;35;88;39.8;7;35;20.0;9;14;64.3;13;38;51;13;5;4;12;16;-9
